age_band,sex,c0u0,c0u1,c1u0,c1u1,sens,spec
"[ 70, 75)",female,12494,9,16,157,0.9457831325301205,0.9987210231814548
"[ 70, 75)",male,14597,10,21,168,0.9438202247191011,0.9985634149678478
"[ 75, 80)",female,13565,9,61,531,0.9833333333333333,0.9955232643475708
"[ 75, 80)",male,12972,11,52,357,0.970108695652174,0.996007371007371
"[ 80, 85)",female,14656,14,142,1246,0.9888888888888889,0.9904041086633328
"[ 80, 85)",male,11637,14,78,526,0.9740740740740741,0.9933418693982075
"[ 85, 90)",female,12794,58,284,2340,0.97581317764804,0.97828414130601
"[ 85, 90)",male,6674,24,116,658,0.9648093841642229,0.9829160530191458
"[ 90,103]",female,5385,58,212,2495,0.9772816294555425,0.9621225656601751
"[ 90,103]",male,1551,11,63,332,0.967930029154519,0.9609665427509294
